Year,Geographical Description,ONS Code,Measure Group,Measure Group Description,Measure_Value,Geographical Level,Disaggregation Level,Measure Type
2017-18,Oxfordshire,E10000025,3D1,The proportion of people who use services who find it easy to find information about support,75.1,Council,Total,Outcome
2017-18,Peterborough,E06000031,3D1,The proportion of people who use services who find it easy to find information about support,75.7,Council,Total,Outcome
2017-18,Plymouth,E06000026,3D1,The proportion of people who use services who find it easy to find information about support,70.4,Council,Total,Outcome
2017-18,Poole,E06000029,3D1,The proportion of people who use services who find it easy to find information about support,75.6,Council,Total,Outcome
2017-18,Portsmouth,E06000044,3D1,The proportion of people who use services who find it easy to find information about support,80.4,Council,Total,Outcome
2017-18,Reading,E06000038,3D1,The proportion of people who use services who find it easy to find information about support,74.1,Council,Total,Outcome
2017-18,Redbridge,E09000026,3D1,The proportion of people who use services who find it easy to find information about support,83.8,Council,Total,Outcome
2017-18,Redcar and Cleveland,E06000003,3D1,The proportion of people who use services who find it easy to find information about support,78.1,Council,Total,Outcome
2017-18,Richmond upon Thames,E09000027,3D1,The proportion of people who use services who find it easy to find information about support,76.4,Council,Total,Outcome
2017-18,Rochdale,E08000005,3D1,The proportion of people who use services who find it easy to find information about support,77.1,Council,Total,Outcome
2017-18,Rotherham,E08000018,3D1,The proportion of people who use services who find it easy to find information about support,70.9,Council,Total,Outcome
2017-18,Rutland,E06000017,3D1,The proportion of people who use services who find it easy to find information about support,81.4,Council,Total,Outcome
2017-18,Salford,E08000006,3D1,The proportion of people who use services who find it easy to find information about support,74.8,Council,Total,Outcome
2017-18,Sandwell,E08000028,3D1,The proportion of people who use services who find it easy to find information about support,77.1,Council,Total,Outcome
2017-18,Sefton,E08000014,3D1,The proportion of people who use services who find it easy to find information about support,72.1,Council,Total,Outcome
2017-18,Sheffield,E08000019,3D1,The proportion of people who use services who find it easy to find information about support,69.5,Council,Total,Outcome
2017-18,Shire Counties,,3D1,The proportion of people who use services who find it easy to find information about support,72.9,Council type,Total,Outcome
2017-18,Shropshire,E06000051,3D1,The proportion of people who use services who find it easy to find information about support,70.9,Council,Total,Outcome
2017-18,Slough,E06000039,3D1,The proportion of people who use services who find it easy to find information about support,73.6,Council,Total,Outcome
2017-18,Solihull,E08000029,3D1,The proportion of people who use services who find it easy to find information about support,68.5,Council,Total,Outcome
2017-18,Somerset,E10000027,3D1,The proportion of people who use services who find it easy to find information about support,71.3,Council,Total,Outcome
2017-18,South East,E12000008,3D1,The proportion of people who use services who find it easy to find information about support,73.8,Region,Total,Outcome
2017-18,South Gloucestershire,E06000025,3D1,The proportion of people who use services who find it easy to find information about support,70.2,Council,Total,Outcome
2017-18,South Tyneside,E08000023,3D1,The proportion of people who use services who find it easy to find information about support,79.3,Council,Total,Outcome
2017-18,South West,E12000009,3D1,The proportion of people who use services who find it easy to find information about support,72.8,Region,Total,Outcome
2017-18,Southampton,E06000045,3D1,The proportion of people who use services who find it easy to find information about support,74.2,Council,Total,Outcome
2017-18,Southend-on-Sea,E06000033,3D1,The proportion of people who use services who find it easy to find information about support,77.2,Council,Total,Outcome
2017-18,Southwark,E09000028,3D1,The proportion of people who use services who find it easy to find information about support,67.5,Council,Total,Outcome
2017-18,St. Helens,E08000013,3D1,The proportion of people who use services who find it easy to find information about support,80.2,Council,Total,Outcome
2017-18,Staffordshire,E10000028,3D1,The proportion of people who use services who find it easy to find information about support,67.9,Council,Total,Outcome
2017-18,Stockport,E08000007,3D1,The proportion of people who use services who find it easy to find information about support,72.4,Council,Total,Outcome
2017-18,Stockton-on-Tees,E06000004,3D1,The proportion of people who use services who find it easy to find information about support,80.8,Council,Total,Outcome
2017-18,Stoke-on-Trent,E06000021,3D1,The proportion of people who use services who find it easy to find information about support,73.5,Council,Total,Outcome
2017-18,Suffolk,E10000029,3D1,The proportion of people who use services who find it easy to find information about support,74.2,Council,Total,Outcome
2017-18,Sunderland,E08000024,3D1,The proportion of people who use services who find it easy to find information about support,81.9,Council,Total,Outcome
2017-18,Surrey,E10000030,3D1,The proportion of people who use services who find it easy to find information about support,72.4,Council,Total,Outcome
2017-18,Sutton,E09000029,3D1,The proportion of people who use services who find it easy to find information about support,67.5,Council,Total,Outcome
2017-18,Swindon,E06000030,3D1,The proportion of people who use services who find it easy to find information about support,71.3,Council,Total,Outcome
2017-18,Tameside,E08000008,3D1,The proportion of people who use services who find it easy to find information about support,74.8,Council,Total,Outcome
2017-18,Telford and the Wrekin,E06000020,3D1,The proportion of people who use services who find it easy to find information about support,66.2,Council,Total,Outcome
2017-18,Thurrock,E06000034,3D1,The proportion of people who use services who find it easy to find information about support,71.6,Council,Total,Outcome
2017-18,Torbay,E06000027,3D1,The proportion of people who use services who find it easy to find information about support,75.4,Council,Total,Outcome
2017-18,Tower Hamlets,E09000030,3D1,The proportion of people who use services who find it easy to find information about support,70.3,Council,Total,Outcome
2017-18,Trafford,E08000009,3D1,The proportion of people who use services who find it easy to find information about support,66.3,Council,Total,Outcome
2017-18,Unitary Authorities,,3D1,The proportion of people who use services who find it easy to find information about support,74.9,Council type,Total,Outcome
2017-18,Wakefield,E08000036,3D1,The proportion of people who use services who find it easy to find information about support,76.0,Council,Total,Outcome
2017-18,Walsall,E08000030,3D1,The proportion of people who use services who find it easy to find information about support,74.5,Council,Total,Outcome
2017-18,Waltham Forest,E09000031,3D1,The proportion of people who use services who find it easy to find information about support,67.4,Council,Total,Outcome
2017-18,Wandsworth,E09000032,3D1,The proportion of people who use services who find it easy to find information about support,68.1,Council,Total,Outcome
2017-18,Warrington,E06000007,3D1,The proportion of people who use services who find it easy to find information about support,76.0,Council,Total,Outcome
2017-18,Warwickshire,E10000031,3D1,The proportion of people who use services who find it easy to find information about support,76.7,Council,Total,Outcome
2017-18,West Berkshire,E06000037,3D1,The proportion of people who use services who find it easy to find information about support,76.8,Council,Total,Outcome
2017-18,West Midlands,E12000005,3D1,The proportion of people who use services who find it easy to find information about support,73.1,Region,Total,Outcome
2017-18,West Sussex,E10000032,3D1,The proportion of people who use services who find it easy to find information about support,71.6,Council,Total,Outcome
2017-18,Westminster,E09000033,3D1,The proportion of people who use services who find it easy to find information about support,68.3,Council,Total,Outcome
